0	[0.00019234 0.00019234 0.00013739 0.00019234 0.00013739 0.00019234]
1	[0.0002473  0.00016486 0.00016486 0.00016486 0.00010991 0.00010991]
2	"[2.19818182e-04 2.19818182e-04 8.24318182e-05 8.24318182e-05
 8.24318182e-05 2.19818182e-04]"
3	[0.00013739 0.00013739 0.00052207 0.00052207 0.00013739 0.00052207]
4	[0.0002473  0.0002473  0.0002473  0.00046711 0.00046711 0.00046711]
5	[0.00019234 0.00019234 0.00027477 0.00027477 0.00019234 0.00027477]
6	[0.00041216 0.00041216 0.00041216 0.00041216 0.00010991 0.00010991]
7	[0.0009617  0.0009617  0.0009617  0.00082432 0.00082432 0.00115405]
8	[0.00076936 0.00057702 0.00131891 0.00057702 0.00057702 0.00131891]
9	[0.00365448 0.00417655 0.00153873 0.00153873 0.00365448 0.00417655]
10	"[8.24318182e-05 8.24318182e-05 3.29727273e-04 1.09909091e-04
 3.29727273e-04 3.29727273e-04]"
11	[0.0003572  0.0003572  0.00027477 0.00027477 0.0003572  0.00027477]
12	[0.00783102 0.04176545 0.00659455 0.01252964 0.00835309 0.01566205]
13	[0.01461791 0.00692427 0.00692427 0.01461791 0.00939723 0.01096343]
14	[0.00104414 0.00574275 0.00574275 0.00104414 0.00104414 0.0006045 ]
15	[0.00032973 0.00049459 0.0002473  0.00098918 0.00043964 0.00043964]
16	"[2.74772727e-04 2.74772727e-04 2.74772727e-04 2.74772727e-04
 8.24318182e-05 8.24318182e-05]"
17	[0.00032973 0.00049459 0.00043964 0.0002473  0.00098918 0.0002473 ]
18	[0.00038468 0.00013739 0.00038468 0.00027477 0.00013739 0.00038468]
19	"[2.74772727e-04 8.24318182e-05 8.24318182e-05 8.24318182e-05
 2.74772727e-04 2.74772727e-04]"
20	[0.00043964 0.00098918 0.00049459 0.0002473  0.00032973 0.00049459]
21	[0.00049459 0.00043964 0.00098918 0.0002473  0.00032973 0.00098918]
22	"[5.22068182e-04 8.24318182e-05 5.22068182e-04 8.24318182e-05
 8.24318182e-05 8.24318182e-05]"
23	[0.00030225 0.00030225 0.00030225 0.00010991 0.00030225 0.00010991]
24	[0.00065945 0.00057702 0.00076936 0.00065945 0.00065945 0.00065945]
25	[0.00041216 0.00027477 0.00065945 0.00054955 0.00027477 0.00041216]
26	[0.00280268 0.00467114 0.00467114 0.00247295 0.00420402 0.00247295]
27	[0.00082432 0.00230809 0.00082432 0.00288511 0.00230809 0.0009617 ]
28	[0.00043964 0.0002473  0.00098918 0.00043964 0.00049459 0.00032973]
29	[0.00098918 0.00049459 0.00032973 0.0002473  0.00043964 0.00049459]
30	[0.0002473  0.00043964 0.00032973 0.00098918 0.0002473  0.00049459]
31	[0.00043964 0.0002473  0.00098918 0.00043964 0.00049459 0.00032973]
32	[0.00164864 0.00208827 0.00208827 0.00261034 0.00208827 0.00261034]
33	[0.00032973 0.00049459 0.00098918 0.0002473  0.00043964 0.00049459]
34	"[8.24318182e-05 4.67113636e-04 4.67113636e-04 8.24318182e-05
 4.67113636e-04 4.67113636e-04]"
35	[0.00043964 0.00098918 0.0002473  0.00032973 0.00043964 0.00049459]
36	[0.0002473  0.00043964 0.00049459 0.00032973 0.00049459 0.00098918]
37	[0.0002473  0.0002473  0.00013739 0.00049459 0.00013739 0.0002473 ]
38	[0.0009617  0.00109909 0.00153873 0.00109909 0.00153873 0.00109909]
39	[0.00049459 0.00032973 0.00098918 0.00043964 0.00049459 0.0002473 ]
40	[0.00032973 0.00043964 0.00049459 0.00098918 0.0002473  0.00032973]
41	[0.00178602 0.00082432 0.00082432 0.00071441 0.00107161 0.00107161]
42	[0.0006045  0.0006045  0.00090675 0.00082432 0.00090675 0.00082432]
43	"[3.02250000e-04 5.49545455e-05 5.49545455e-05 5.49545455e-05
 3.02250000e-04 5.49545455e-05]"
44	[0.00013739 0.00016486 0.00016486 0.00016486 0.00016486 0.00013739]
45	[0.045942   0.045942   0.06264818 0.03627    0.06264818 0.08614125]
46	[0.00057702 0.0002473  0.00019234 0.00057702 0.00057702 0.00057702]
47	[0.00140134 0.00186845 0.00093423 0.00065945 0.00093423 0.00140134]
48	[0.00049459 0.00032973 0.00032973 0.0002473  0.00098918 0.00043964]
49	[0.00164864 0.00164864 0.00115405 0.00288511 0.0009617  0.00288511]
